dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,model_list,weight_list,source_path
kdd_cup_2018/D/short,TimeCopilot_LLM_Vote,2871.192318592906,2871.192318592906,21.02990998727704,1.1916544123843522,0.5240491546572197,0.4637016387410712,9.178666073101294,53.58350789742032,1.2003274924906782,0.4710923213660705,0.3742541469250603,Nature,1,"['Moirai', 'Sundial', 'Toto']","[0.3695, 0.0, 0.6305]",all_data_combined.csv
kdd_cup_2018/D/short,TimeCopilot_LLM_Vote,2878.944839012356,2878.944839012356,21.12220302529388,1.1951343524957163,0.5253812218945574,0.4652749144781238,9.132224880544118,53.65579967731685,1.2019469051475915,0.4731597834499114,0.3752281895206198,Nature,1,"['Moirai', 'Sundial', 'Toto']","[0.4476, 0.0, 0.5524]",all_data_combined.csv
kdd_cup_2018/H/short,TimeCopilot_LLM_Vote,4052.9672974264113,4052.9672974264113,19.328461050521668,0.8002058818844637,0.7602782901208994,0.4364146415446874,8.870607648135277,63.6629193284946,1.332580192813928,0.4045796929386541,0.3384930276760634,Nature,1,"['Moirai', 'Sundial', 'Toto']","[0.0932, 0.9012, 0.0055]",all_data_combined.csv
kdd_cup_2018/H/short,TimeCopilot_LLM_Vote,4046.308825812129,4046.308825812129,19.37241183757272,0.8021187614403668,0.7631177427140776,0.4373030962172319,8.746523585227097,63.61060309266159,1.3314851192551125,0.4054996625049352,0.3385989364530841,Nature,1,"['Moirai', 'Sundial', 'Toto']","[0.0, 0.8476, 0.1524]",all_data_combined.csv
kdd_cup_2018/H/short,TimeCopilot_LLM_Vote,4059.765663429777,4059.765663429777,19.325693238785465,0.8006034416001976,0.7584245522899725,0.4371799861669889,9.367025758091716,63.716290408574295,1.333697346173112,0.4045217576266074,0.3408492869606229,Nature,1,"['Moirai', 'Sundial', 'Toto']","[0.0, 0.8498, 0.1502]",all_data_combined.csv
m4_monthly/M/short,TimeCopilot_LLM_Vote,1908031.8752656656,1908031.8752656656,573.3228559327271,0.96401715013763,0.1636020668496035,0.1359012350658564,7.900885536314678,1381.315270047235,0.2870847328164949,0.1191561712826127,0.09478181681918,Econ/Fin,1,"['Moirai', 'Sundial', 'Toto']","[0.1096, 0.0, 0.8904]",all_data_combined.csv
m4_monthly/M/short,TimeCopilot_LLM_Vote,1909209.813988929,1909209.813988929,574.1404124785627,0.9657589054084916,0.1645370526453874,0.1362403808060436,7.889964561205646,1381.741587269099,0.2871733361704054,0.1193260875990489,0.0948714272292973,Econ/Fin,1,"['Moirai', 'Sundial', 'Toto']","[0.1148, 0.0, 0.8852]",all_data_combined.csv
m4_monthly/M/short,TimeCopilot_LLM_Vote,1908135.890143206,1908135.890143206,573.7576317981614,0.9656193415038968,0.1640776566907889,0.1361089317828569,7.877526421569846,1381.3529201993265,0.287092557810606,0.1192465326330371,0.0948323783894936,Econ/Fin,1,"['Moirai', 'Sundial', 'Toto']","[0.0704, 0.0, 0.9296]",all_data_combined.csv
bizitobs_service/10S/short,TimeCopilot_LLM_Vote,3794.4896723201177,3794.4896723201177,21.79204103560844,0.8367785119117842,0.0650562149191817,0.0509360891761413,6.474504857137625,61.59942915579752,0.0456348277444431,0.0161442411478293,0.0128067869535752,Web/CloudOps,2,"['Moirai', 'Sundial', 'Toto']","[0.5079, 0.0, 0.4921]",all_data_combined.csv
bizitobs_service/10S/short,TimeCopilot_LLM_Vote,3855.7506095090775,3855.7506095090775,21.855187450853045,0.8374933618151423,0.0655810889596356,0.0512258245918728,6.477402647057716,62.09469067085428,0.0460017333186961,0.016191022032358,0.0128403216997841,Web/CloudOps,2,"['Moirai', 'Sundial', 'Toto']","[0.5341, 0.0, 0.4659]",all_data_combined.csv
bizitobs_service/10S/short,TimeCopilot_LLM_Vote,3493.3796230672406,3493.3796230672406,21.9706153829062,0.8404877926388816,0.0567055621536587,0.0466034138367971,6.812763463542215,59.104818949619,0.0437867406986921,0.0162765347370751,0.0128881901853364,Web/CloudOps,2,"['Moirai', 'Sundial', 'Toto']","[0.0533, 0.0, 0.9467]",all_data_combined.csv
bitbrains_rnd/5T/short,TimeCopilot_LLM_Vote,1527038.549737557,1527038.549737557,111.73679620299094,1.6536642018413217,1.015093798608106,0.6540497646752133,53.37109242809659,1235.73401253569,5.056266837622652,0.4571947129820273,0.3883132356664211,Web/CloudOps,2,"['Moirai', 'Sundial', 'Toto']","[0.0999, 0.0, 0.9001]",all_data_combined.csv
